,Zurich_1,Zurich_2,Zurich_3,Zurich_4,Zurich_5,Zurich_6,Zurich_7,Zurich_8,Zurich_9,Zurich_10,Zurich_11,Zurich_12
00:00,0,0,0,0,0,0,0,0,0,0,0,0
01:00,0,0,0,0,0,0,0,0,0,0,0,0
02:00,0,0,0,0,0,0,0,0,0,0,0,0
03:00,0,0,0,0,0,0,0,0,0,0,0,0
04:00,0,0,0,0,19.59,82.12,23.23,0,0,0,0,0
05:00,0,0,0,95.87,226.1,260.1,254.86,134.75,0,0,0,0
06:00,0,0,134.16,343.92,364.66,412.92,421.76,347.92,168.73,89.52,0,0
07:00,0,155.96,334.33,477.25,465.87,525.34,545.16,490.39,248.91,266.01,140.72,0
08:00,241.71,295.27,451.64,577.54,566.2,602.48,647.99,579.22,318.09,339.79,254.38,210.62
09:00,288.92,366.74,523.55,631.54,631.06,650.35,693.51,636.58,355.44,394.53,276.83,265.32
10:00,313.3,401.57,549.86,676.82,641.35,679.79,706.58,659.26,398.01,456.52,340.67,291.18
11:00,333.2,437.87,587.03,708.33,651.89,702,731.9,685.17,411.16,507.25,376.27,305.24
12:00,342.01,425.4,560.08,689.38,635.96,702.59,725.74,686.69,414.68,515.7,384.59,312.5
13:00,327.42,434.24,559.21,665.76,620.16,668.2,683.09,659.05,406.29,517.4,359.77,295.68
14:00,292.67,401.9,512.95,587.78,540.69,623.88,652.58,601.05,370.64,447.55,303.65,248.91
15:00,174.18,332.64,459.94,524.82,496.48,564.52,592.2,546.38,345.5,364.41,108.27,6.22
16:00,0.02,111.07,369.73,440.78,430.79,472.52,503.8,464.64,264.94,90.75,0,0
17:00,0,0,81.76,293.05,309.34,358.16,391.78,319.33,95.48,0,0,0
18:00,0,0,0,7.46,141.04,211.31,232.22,88.21,0,0,0,0
19:00,0,0,0,0,0,0.39,0.28,0,0,0,0,0
20:00,0,0,0,0,0,0,0,0,0,0,0,0
21:00,0,0,0,0,0,0,0,0,0,0,0,0
22:00,0,0,0,0,0,0,0,0,0,0,0,0
23:00,0,0,0,0,0,0,0,0,0,0,0,0
